都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|2,181|59,856|148|0|1,926|107
青森|37|2,504|2|0|34|1
岩手|24|4,388|1|0|23|0
宮城|428|10,907|49|1|377|2
秋田|58|2,163|5|0|53|0
山形|78|5,203|1|0|77|1
福島|269|21,225|43|3|222|4
茨城|677|12,688|44|4|616|17
栃木|438|32,269|33|0|406|1
群馬|728|23,096|42|3|667|19
埼玉|4,820|147,205|332|6|4,386|102
千葉|4,069|97,864|316|10|3,681|72
東京|26,550|477,472|1,985|25|24,152|413
神奈川|7,147|159,977|515|20|6,489|143
新潟|170|15,712|4|0|166|0
富山|422|12,744|11|1|385|26
石川|778|13,544|30|0|701|47
福井|244|9,880|0|0|231|11
山梨|194|10,833|21|1|173|6
長野|313|19,422|11|0|307|1
岐阜|630|23,291|19|2|601|10
静岡|558|35,440|32|2|524|2
愛知|5,437|79,389|317|12|5,034|86
三重|530|13,430|62|2|461|7
滋賀|506|12,183|21|0|477|8
京都|1,787|44,223|71|2|1,690|26
大阪|10,840|191,163|477|23|10,136|219
兵庫|2,797|58,357|126|8|2,612|59
奈良|581|21,281|22|0|550|9
和歌山|242|9,377|3|0|232|4
鳥取|36|5,500|5|0|31|0
島根|140|5,829|0|0|140|0
岡山|161|8,654|8|-|149|-
広島|604|21,380|105|1|494|3
山口|201|10,143|6|1|193|2
徳島|149|7,008|6|0|131|9
香川|93|11,002|3|0|88|2
愛媛|115|4,131|1|0|108|6
高知|138|3,511|0|0|134|4
福岡|5,057|136,678|75|6|4,883|99
佐賀|246|6,166|1|0|247|0
長崎|238|18,993|1|0|233|3
熊本|626|16,830|31|0|560|8
大分|158|17,325|2|0|154|2
宮崎|344|8,631|1|0|343|1
鹿児島|435|19,588|25|0|403|12
沖縄|2,607|41,088|245|7|2,319|47
（その他）|149|-|0|-|149|-
合計|85,030|1,969,543|5,258|140|78,148|1,601
