都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|6,380|119,279|1,993|19|4,246|141
青森|280|6,349|19|2|255|6
岩手|112|7,411|79|1|33|0
宮城|1,061|17,169|189|8|863|9
秋田|74|3,155|6|1|68|0
山形|107|7,144|20|0|86|1
福島|466|36,945|54|4|406|6
茨城|1,139|15,503|247|5|873|19
栃木|550|49,184|52|4|498|2
群馬|1,016|33,976|79|3|916|21
埼玉|7,326|216,902|890|17|6,306|130
千葉|6,199|153,635|752|8|5,361|86
東京|36,778|701,481|3,347|37|32,954|477
神奈川|10,988|234,414|1,207|44|9,597|184
新潟|286|20,632|85|1|201|0
富山|441|16,124|16|0|399|26
石川|831|20,483|7|0|775|49
福井|298|13,346|31|2|256|11
山梨|298|12,801|50|2|241|7
長野|567|27,741|165|0|401|6
岐阜|890|30,992|130|0|747|13
静岡|1,111|51,416|339|3|768|4
愛知|8,262|122,758|1,317|19|6,841|104
三重|684|18,271|90|5|587|7
滋賀|720|24,685|87|0|624|9
京都|2,409|60,062|214|3|2,160|35
大阪|16,744|288,368|2,329|81|14,124|272
兵庫|4,355|82,174|544|23|3,735|76
奈良|952|29,663|183|4|758|11
和歌山|372|11,946|65|4|297|4
鳥取|53|6,185|10|0|43|0
島根|142|6,498|1|0|141|0
岡山|458|17,220|109|3|310|11
広島|726|31,670|43|0|674|6
山口|326|13,795|98|2|223|2
徳島|176|7,712|8|2|161|9
香川|127|15,760|19|0|106|2
愛媛|164|5,091|47|0|111|6
高知|144|3,700|0|0|140|4
福岡|5,477|187,533|143|3|5,228|106
佐賀|290|8,602|15|0|276|1
長崎|254|25,507|8|0|243|3
熊本|951|22,677|76|1|841|11
大分|208|24,521|45|0|160|3
宮崎|398|8,918|26|0|372|1
鹿児島|592|25,683|48|0|537|13
沖縄|3,925|66,496|345|2|3,517|68
（その他）|149|-|0|-|149|-
合計|126,256|2,911,577|15,627|313|108,608|1,962
