都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|2,032|55,324|111|1|1,814|107
青森|35|2,348|0|0|34|1
岩手|23|4,057|0|0|23|0
宮城|385|10,041|62|0|321|2
秋田|53|2,094|2|0|51|0
山形|78|5,098|2|1|76|1
福島|242|19,374|40|1|200|2
茨城|637|12,251|29|4|591|17
栃木|427|29,463|68|1|355|1
群馬|698|20,052|101|1|578|19
埼玉|4,547|139,050|266|7|4,181|100
千葉|3,784|85,762|320|8|3,394|70
東京|25,113|436,860|2,163|29|22,550|400
神奈川|6,679|146,306|532|25|6,011|136
新潟|170|15,085|20|0|150|0
富山|412|11,651|7|0|380|25
石川|773|12,490|56|0|671|46
福井|244|9,671|3|2|229|10
山梨|180|10,478|3|1|171|6
長野|303|18,446|7|0|301|1
岐阜|616|22,106|24|2|582|10
静岡|526|32,717|13|1|512|1
愛知|5,217|73,369|353|14|4,781|83
三重|489|12,132|76|4|404|7
滋賀|490|11,544|22|0|460|8
京都|1,710|40,610|67|1|1,618|25
大阪|10,399|178,425|607|30|9,582|201
兵庫|2,636|54,556|93|7|2,484|59
奈良|562|19,870|15|0|538|9
和歌山|238|9,220|2|0|229|4
鳥取|36|5,414|7|0|29|0
島根|140|5,541|2|0|137|0
岡山|152|8,110|1|-|147|-
広島|506|20,198|26|1|467|3
山口|196|9,386|5|1|189|2
徳島|147|6,849|17|0|118|9
香川|93|10,449|4|0|87|2
愛媛|114|4,037|0|0|108|6
高知|137|3,436|0|0|133|4
福岡|5,017|47,045|136|10|4,786|95
佐賀|245|5,814|3|0|244|0
長崎|236|17,938|3|0|230|3
熊本|572|16,276|7|0|557|8
大分|158|16,413|3|0|153|2
宮崎|344|8,534|2|0|342|1
鹿児島|400|18,249|17|0|376|12
沖縄|2,407|37,958|149|8|2,216|46
（その他）|149|-|0|-|149|-
合計|80,747|1,742,097|5,446|160|73,739|1,544
