都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|13,617|241,691|1,666|19|11,466|460
青森|496|9,968|94|2|394|8
岩手|389|14,448|63|3|302|24
宮城|2,225|24,865|449|3|1,760|16
秋田|143|4,565|39|0|103|1
山形|391|10,180|79|6|303|9
福島|969|58,370|245|5|703|21
茨城|2,508|18,572|303|7|2,167|38
栃木|1,590|73,334|529|9|1,061|6
群馬|2,381|52,671|341|10|1,995|45
埼玉|14,732|321,576|3,164|59|11,357|211
千葉|11,458|226,829|2,398|15|8,939|121
東京|61,774|996,675|9,848|94|51,295|631
神奈川|22,115|342,311|3,578|71|18,257|280
新潟|555|28,256|116|0|438|3
富山|563|21,742|54|2|483|26
石川|1,097|30,053|132|7|924|51
福井|359|19,436|19|0|327|12
山梨|568|14,525|75|3|482|11
⾧野|1,217|48,235|164|3|1,049|16
岐阜|2,384|65,843|537|13|1,810|37
静岡|2,758|88,334|502|7|2,215|41
愛知|16,747|199,918|2,555|39|13,976|216
三重|1,311|30,675|161|6|1,132|18
滋賀|1,222|38,009|247|4|963|12
京都|4,803|95,241|962|14|3,829|53
大阪|30,519|471,150|3,744|165|26,181|594
兵庫|10,132|141,681|1,235|49|8,677|220
奈良|2,077|47,698|379|12|1,674|24
和歌山|640|16,572|52|4|570|7
鳥取|120|24,205|51|1|67|0
島根|213|9,344|31|2|182|0
岡山|1,413|31,723|384|8|762|13
広島|3,381|75,233|656|18|2,290|36
山口|592|26,760|115|3|470|3
徳島|199|15,372|7|0|183|9
香川|308|24,430|90|0|215|3
愛媛|477|13,721|95|3|369|13
高知|676|5,977|95|7|573|8
福岡|8,774|263,231|1,573|16|7,272|119
佐賀|474|15,041|53|1|424|3
⾧崎|703|39,921|226|2|311|4
熊本|1,903|36,364|196|9|1,495|18
大分|711|43,414|126|4|579|6
宮崎|759|12,454|91|0|668|5
鹿児島|1,016|39,751|136|2|880|14
沖縄|5,424|90,273|376|7|4,972|81
（その他）|149|-|0|-|149|-
合計|239,032|4,520,637|38,031|714|196,693|3,547
