都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|17,720|327,318|1,330|11|15,859|611
青森|730|13,519|58|1|659|13
岩手|505|20,461|22|2|455|28
宮城|3,431|48,693|213|9|3,196|22
秋田|266|6,739|44|0|219|3
山形|513|15,189|59|2|441|13
福島|1,750|87,691|210|12|1,490|50
茨城|4,914|23,513|581|15|4,265|68
栃木|3,803|107,222|391|15|3,363|49
群馬|3,969|77,531|374|14|3,524|71
埼玉|25,851|466,838|3,965|65|21,511|375
千葉|22,948|335,596|5,186|44|17,491|271
東京|101,466|1,346,412|9,854|125|90,663|949
神奈川|41,404|509,791|2,644|104|38,266|494
新潟|928|37,467|98|2|818|12
富山|876|31,560|37|2|812|27
石川|1,484|41,738|89|3|1,347|58
福井|517|27,353|60|4|437|20
山梨|902|14,741|25|3|862|15
長野|2,314|85,149|144|1|2,161|38
岐阜|4,321|107,762|420|9|3,831|70
静岡|4,645|151,467|402|2|4,163|80
愛知|24,202|325,712|2,235|60|21,557|410
三重|2,259|46,585|335|9|1,893|31
滋賀|2,180|58,374|251|5|1,896|33
京都|8,566|134,586|1,119|15|7,400|122
大阪|44,355|665,303|3,990|166|39,407|958
兵庫|16,662|206,992|1,644|65|14,596|422
奈良|3,121|70,956|292|5|2,789|40
和歌山|1,085|22,157|87|10|962|15
鳥取|203|35,387|23|0|175|2
島根|273|12,166|22|0|251|0
岡山|2,366|51,686|252|10|2,013|20
広島|4,841|120,841|278|11|4,452|94
山口|1,272|49,814|268|0|980|24
徳島|389|22,374|43|3|331|15
香川|670|38,359|160|1|495|15
愛媛|997|25,633|89|3|887|21
高知|851|6,948|29|4|808|14
福岡|16,316|378,330|1,967|40|14,153|196
佐賀|965|24,285|81|1|895|6
長崎|1,537|58,238|222|3|1,286|32
熊本|3,360|51,587|188|19|3,005|63
大分|1,191|65,881|152|2|1,022|17
宮崎|1,866|23,721|180|5|1,679|20
鹿児島|1,632|57,426|188|4|1,444|19
沖縄|7,691|128,395|727|6|6,877|92
（その他）|149|-|0|-|149|-
合計|394,256|6,565,486|41,028|892|347,235|6,018
