都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|11,650|200,304|2,183|37|9,287|352
青森|383|8,413|48|2|329|6
岩手|318|12,356|116|3|190|12
宮城|1,596|22,399|326|3|1,258|12
秋田|94|3,873|4|0|89|1
山形|290|9,361|118|1|171|1
福島|658|46,923|134|3|515|9
茨城|2,053|18,048|278|12|1,743|32
栃木|938|63,079|230|11|708|2
群馬|1,771|45,427|323|4|1,357|28
埼玉|10,894|272,701|1,822|38|8,898|174
千葉|8,511|193,565|1,070|15|7,339|102
東京|48,668|876,634|5,070|69|43,041|557
神奈川|15,684|293,582|1,701|52|13,756|227
新潟|418|25,175|75|0|343|3
富山|477|19,490|16|1|435|26
石川|930|25,853|57|0|825|50
福井|337|17,138|17|1|309|11
山梨|459|14,215|38|1|412|9
長野|1,006|39,493|149|6|810|7
岐阜|1,585|53,111|364|6|1,200|21
静岡|2,253|71,412|632|14|1,597|24
愛知|13,035|165,720|2,155|35|10,733|147
三重|1,103|24,205|186|5|903|14
滋賀|886|32,086|76|1|799|11
京都|3,378|77,767|512|8|2,838|43
大阪|25,816|395,030|3,990|157|21,368|442
兵庫|7,547|116,713|780|43|6,650|117
奈良|1,554|40,843|229|9|1,310|15
和歌山|568|15,447|59|8|491|7
鳥取|68|20,641|9|1|58|0
島根|170|7,659|14|1|156|0
岡山|858|24,136|116|3|562|11
広島|1,808|51,951|262|14|1,045|11
山口|441|22,347|41|5|394|2
徳島|188|14,029|3|0|176|9
香川|205|19,968|46|0|156|3
愛媛|370|9,820|55|2|306|9
高知|432|5,022|173|1|255|4
福岡|6,890|231,582|792|12|5,987|111
佐賀|398|12,611|54|0|346|3
長崎|338|31,230|56|2|273|3
熊本|1,329|28,851|157|6|1,072|13
大分|543|35,449|137|4|403|3
宮崎|622|11,400|72|2|550|4
鹿児島|837|32,950|184|1|653|13
沖縄|4,880|81,311|358|6|4,450|77
（その他）|149|-|0|-|149|-
合計|185,386|3,841,320|25,287|605|156,695|2,738
