都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|17,933|332,943|1,247|11|16,101|617
青森|738|15,398|56|1|669|13
岩手|511|20,830|25|1|457|29
宮城|3,452|48,905|183|7|3,247|22
秋田|269|6,756|37|0|228|4
山形|519|15,731|63|1|443|13
福島|1,768|90,177|178|11|1,538|52
茨城|5,034|23,780|560|16|4,402|72
栃木|3,854|111,852|322|14|3,483|49
群馬|4,065|78,856|392|12|3,598|75
埼玉|26,318|476,181|3,628|65|22,291|399
千葉|23,389|340,657|4,352|45|18,751|286
東京|102,777|1,366,439|8,387|117|93,394|996
神奈川|41,916|520,223|2,299|83|39,090|527
新潟|943|37,723|97|2|834|12
富山|878|32,299|32|2|819|27
石川|1,519|42,628|103|2|1,371|58
福井|519|27,853|47|2|451|21
山梨|908|14,741|25|3|868|15
長野|2,328|86,509|116|1|2,202|39
岐阜|4,384|109,874|383|11|3,925|76
静岡|4,708|154,697|368|2|4,256|84
愛知|24,417|333,828|2,013|55|21,975|429
三重|2,298|52,085|308|12|1,957|33
滋賀|2,215|61,174|237|6|1,945|33
京都|8,651|137,085|989|7|7,610|127
大阪|44,771|676,190|3,577|155|40,217|977
兵庫|16,893|211,439|1,481|63|14,979|433
奈良|3,166|72,095|269|5|2,855|42
和歌山|1,098|22,395|80|7|982|15
鳥取|206|35,979|20|1|181|2
島根|274|13,515|22|0|252|0
岡山|2,380|55,878|143|5|2,199|24
広島|4,863|120,841|230|8|4,526|94
山口|1,283|49,814|218|0|1,040|25
徳島|392|22,726|35|3|342|15
香川|684|39,329|161|1|507|16
愛媛|1,004|27,572|82|2|901|21
高知|855|6,953|20|1|818|17
福岡|16,434|384,982|1,924|42|14,310|200
佐賀|976|24,890|76|1|912|6
長崎|1,543|59,516|217|3|1,302|33
熊本|3,372|54,690|162|17|3,087|64
大分|1,215|67,302|145|1|1,052|18
宮崎|1,879|24,027|151|4|1,721|20
鹿児島|1,640|58,166|155|2|1,485|19
沖縄|7,790|131,009|673|5|7,030|92
（その他）|149|-|0|-|149|-
合計|399,178|6,698,532|36,288|815|356,752|6,241
