都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|1,866|49,239|64|2|1,696|106
青森|35|2,206|2|0|32|1
岩手|23|3,610|4|0|19|0
宮城|290|8,765|71|0|217|2
秋田|50|1,855|0|0|50|0
山形|78|3,148|2|1|76|1
福島|204|16,925|44|2|160|0
茨城|609|11,550|56|3|538|15
栃木|338|25,518|19|2|302|1
群馬|541|16,995|91|0|431|19
埼玉|4,264|123,265|317|8|3,850|97
千葉|3,385|66,251|320|7|2,998|67
東京|22,857|380,646|2,366|23|20,109|382
神奈川|5,891|128,296|676|32|5,089|126
新潟|148|13,835|7|1|141|0
富山|408|10,832|21|0|364|25
石川|730|10,587|86|0|602|42
福井|244|9,215|44|4|190|8
山梨|179|9,977|10|1|164|5
長野|296|17,030|24|1|277|1
岐阜|580|19,819|25|2|545|10
静岡|504|29,710|23|2|480|1
愛知|4,835|62,057|394|15|4,366|75
三重|457|11,156|80|2|372|5
滋賀|471|10,451|37|1|427|7
京都|1,607|35,638|108|2|1,474|25
大阪|9,527|157,124|824|34|8,518|177
兵庫|2,435|49,171|118|6|2,262|55
奈良|545|18,233|28|2|509|8
和歌山|236|8,898|4|0|225|4
鳥取|23|4,615|1|0|22|0
島根|137|5,186|0|0|137|0
岡山|146|7,511|1|-|145|-
広島|464|18,642|9|0|452|3
山口|194|8,068|42|1|151|1
徳島|147|6,595|46|3|91|8
香川|87|9,272|10|0|75|2
愛媛|114|3,921|1|0|107|6
高知|137|3,303|9|0|124|4
福岡|4,932|44,529|473|15|4,402|79
佐賀|244|5,508|4|0|240|0
長崎|235|16,363|8|0|219|3
熊本|568|12,903|33|0|515|8
大分|158|14,477|14|0|142|2
宮崎|340|8,279|9|0|331|1
鹿児島|372|17,075|13|1|372|11
沖縄|2,280|31,694|216|7|2,023|45
（その他）|149|-|0|-|149|-
合計|74,360|1,529,943|6,754|180|66,180|1,438
