都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|2,518|69,832|211|2|2,199|108
青森|104|3,071|67|1|36|1
岩手|26|4,874|3|0|23|0
宮城|524|12,291|43|1|479|2
秋田|59|2,361|1|0|58|0
山形|81|5,338|2|0|78|1
福島|362|24,897|84|2|272|6
茨城|728|13,174|30|2|680|18
栃木|465|34,469|19|0|439|1
群馬|774|26,336|38|4|712|19
埼玉|5,371|163,381|431|9|4,837|103
千葉|4,530|111,109|347|10|4,107|76
東京|28,971|535,672|1,958|24|26,577|436
神奈川|7,942|178,657|570|19|7,218|154
新潟|180|16,849|4|0|176|0
富山|423|13,903|1|0|396|26
石川|795|15,397|25|0|723|47
福井|256|10,331|11|0|234|11
山梨|199|11,173|2|0|191|6
⾧野|326|20,863|8|0|317|4
岐阜|642|24,987|12|1|620|10
静岡|575|39,100|15|0|558|2
愛知|5,664|88,963|232|9|5,341|91
三重|549|14,646|17|0|525|7
滋賀|524|13,298|13|0|503|8
京都|1,907|48,126|119|1|1,761|27
大阪|11,514|212,793|464|20|10,807|227
兵庫|2,995|63,557|120|18|2,814|61
奈良|613|23,057|28|2|576|9
和歌山|255|9,924|7|1|241|4
鳥取|36|5,548|0|0|36|0
島根|140|6,023|0|0|140|0
岡山|173|8,654|12|2|155|1
広島|649|25,370|39|1|606|4
山口|209|10,947|2|1|205|2
徳島|158|7,188|0|0|140|9
香川|99|12,432|4|0|93|2
愛媛|116|4,240|2|0|108|6
高知|140|3,586|1|0|135|4
福岡|5,139|150,735|64|6|4,976|99
佐賀|252|6,545|5|0|249|0
⾧崎|241|20,757|3|0|235|3
熊本|744|18,430|66|0|660|8
大分|159|19,203|2|0|155|2
宮崎|366|8,703|1|0|365|1
鹿児島|463|21,290|18|0|463|12
沖縄|2,918|47,630|274|8|2,593|55
（その他）|149|-|0|-|149|-
合計|92,023|2,189,710|5,375|144|84,961|1,673
