都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|1,960|53,173|98|1|1,756|106
青森|35|2,282|2|0|32|1
岩手|23|3,860|0|0|23|0
宮城|367|9,738|81|1|284|2
秋田|53|1,964|2|0|51|0
山形|78|5,038|2|1|76|1
福島|225|18,429|38|1|185|2
茨城|627|12,026|38|5|573|16
栃木|400|27,909|61|1|315|1
群馬|670|18,959|130|0|521|19
埼玉|4,448|131,305|287|6|4,061|100
千葉|3,651|74,727|346|6|3,237|68
東京|24,306|411,359|2,375|27|21,540|391
神奈川|6,403|138,519|635|24|5,633|135
新潟|165|14,594|21|1|144|0
富山|410|11,364|5|0|380|25
石川|756|11,835|65|0|646|45
福井|244|9,502|11|2|221|10
山梨|180|10,263|7|2|168|5
長野|303|17,873|10|0|298|1
岐阜|599|21,238|32|1|557|10
静岡|517|31,367|22|1|494|1
愛知|5,103|69,242|410|16|4,612|81
三重|475|11,898|76|5|393|5
滋賀|479|11,208|21|0|451|7
京都|1,659|38,110|80|1|1,554|25
大阪|10,099|170,643|724|29|9,173|193
兵庫|2,575|52,677|123|9|2,395|57
奈良|555|19,076|17|1|529|9
和歌山|236|9,025|2|0|227|4
鳥取|36|5,355|13|0|23|0
島根|137|5,309|0|0|137|0
岡山|148|7,861|1|-|146|-
広島|476|19,573|10|0|463|3
山口|195|8,891|16|1|177|1
徳島|147|6,778|28|0|112|9
香川|93|10,083|9|0|82|2
愛媛|114|3,973|0|0|108|6
高知|137|3,403|1|0|132|4
福岡|5,004|46,615|185|12|4,734|91
佐賀|244|5,690|2|0|244|0
長崎|236|17,290|3|0|227|3
熊本|571|16,066|18|0|545|8
大分|158|15,519|5|0|151|2
宮崎|344|8,455|4|0|340|1
鹿児島|377|17,562|7|0|370|12
沖縄|2,358|36,091|145|10|2,172|45
（その他）|149|-|0|-|149|-
合計|78,525|1,653,717|6,168|164|70,841|1,507
