都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|10,039|171,282|2,237|24|7,546|256
青森|343|7,341|63|2|274|6
岩手|220|10,219|55|3|159|6
宮城|1,311|20,084|157|4|1,144|10
秋田|90|3,733|3|0|86|1
山形|177|8,284|49|1|127|1
福島|541|42,276|69|5|464|8
茨城|1,844|17,532|378|17|1,443|23
栃木|749|57,242|170|10|579|2
群馬|1,401|39,431|260|5|1,106|22
埼玉|9,411|249,360|1,553|27|7,699|159
千葉|7,519|174,527|821|14|6,605|93
東京|44,003|807,999|4,362|55|39,124|517
神奈川|13,704|271,058|1,121|65|12,368|215
新潟|359|23,193|80|0|279|0
富山|462|18,028|12|2|424|26
石川|874|23,296|26|0|798|50
福井|322|15,745|15|2|296|11
山梨|422|13,750|90|0|323|9
長野|823|33,920|96|3|682|6
岐阜|1,260|44,187|244|2|1,002|14
静岡|1,960|62,660|628|13|1,315|17
愛知|11,327|143,080|1,922|28|9,273|132
三重|957|22,079|195|5|752|10
滋賀|826|29,471|70|1|745|11
京都|2,858|70,273|288|9|2,531|39
大阪|22,735|353,214|4,230|141|18,124|362
兵庫|6,440|104,516|805|40|5,540|95
奈良|1,330|35,844|269|7|1,048|13
和歌山|507|14,226|71|4|418|7
鳥取|65|18,380|8|0|56|0
島根|158|7,158|9|1|149|0
岡山|666|20,802|140|5|468|11
広島|1,085|39,067|214|6|807|7
山口|414|19,028|52|3|356|2
徳島|185|7,934|6|1|170|9
香川|164|18,221|33|0|128|3
愛媛|349|8,560|96|5|246|6
高知|246|4,151|70|0|154|4
福岡|6,060|211,871|387|10|5,564|109
佐賀|341|10,620|40|0|302|2
長崎|276|28,287|16|0|260|3
熊本|1,094|25,208|73|7|977|13
大分|408|30,204|149|1|256|3
宮崎|566|10,583|103|1|463|1
鹿児島|673|28,667|56|1|617|13
沖縄|4,585|76,441|396|6|4,120|74
（その他）|149|-|0|-|149|-
合計|162,298|3,453,032|22,187|536|137,516|2,381
