都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|18,235|343,499|1,048|14|16,585|628
青森|790|15,767|80|0|696|14
岩手|518|21,969|21|1|468|29
宮城|3,483|49,566|108|6|3,352|23
秋田|269|6,878|31|0|234|4
山形|531|16,338|41|0|476|14
福島|1,794|94,227|133|9|1,602|59
茨城|5,246|24,220|469|15|4,691|86
栃木|3,918|114,939|242|11|3,619|57
群馬|4,178|82,684|327|10|3,746|76
埼玉|27,173|494,100|3,163|47|23,575|435
千葉|24,134|361,166|3,371|40|20,443|320
東京|105,024|1,403,828|5,818|103|98,128|1,078
神奈川|42,720|536,389|1,727|55|40,415|578
新潟|972|38,862|77|2|882|13
富山|883|33,203|17|3|839|27
石川|1,596|44,754|175|0|1,399|60
福井|528|28,785|35|2|470|23
山梨|918|14,741|19|2|884|15
長野|2,340|89,440|80|1|2,251|39
岐阜|4,509|116,077|332|13|4,090|87
静岡|4,785|171,062|227|2|4,469|89
愛知|24,822|347,169|1,499|45|22,863|460
三重|2,353|52,085|235|12|2,079|39
滋賀|2,270|63,197|183|6|2,052|35
京都|8,798|141,570|821|5|7,912|139
大阪|45,477|698,622|2,934|143|41,512|1,031
兵庫|17,232|219,751|990|68|15,786|456
奈良|3,233|74,734|203|7|2,988|42
和歌山|1,118|22,967|54|8|1,026|16
鳥取|207|37,113|18|0|184|2
島根|278|13,515|11|1|267|0
岡山|2,422|55,878|143|5|2,199|24
広島|4,909|138,115|148|6|4,656|96
山口|1,338|52,858|181|0|1,125|32
徳島|402|23,298|30|3|357|15
香川|708|40,912|86|1|605|17
愛媛|1,026|27,842|69|1|935|22
高知|864|6,980|14|1|833|17
福岡|16,963|399,116|1,594|38|15,149|220
佐賀|992|25,628|62|1|943|6
長崎|1,569|61,891|154|2|1,387|35
熊本|3,392|55,171|109|15|3,187|66
大分|1,242|71,055|110|0|1,114|18
宮崎|1,906|24,309|104|3|1,775|20
鹿児島|1,685|60,543|84|3|1,591|19
沖縄|7,928|134,957|512|3|7,326|95
（その他）|149|-|0|-|149|-
合計|407,827|6,951,770|27,889|713|373,314|6,676
