都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|2,039|55,872|110|0|1,822|107
青森|35|2,348|0|0|34|1
岩手|23|4,057|0|0|23|0
宮城|389|10,103|62|0|325|2
秋田|53|2,094|2|0|51|0
山形|78|5,102|2|1|76|1
福島|247|19,682|43|1|202|2
茨城|638|12,251|30|4|591|17
栃木|427|29,540|68|1|359|1
群馬|699|20,226|85|1|595|19
埼玉|4,582|139,115|280|6|4,201|101
千葉|3,805|86,132|321|8|3,414|70
東京|25,257|436,860|2,210|29|22,647|400
神奈川|6,744|146,306|532|25|6,076|136
新潟|170|15,095|19|0|151|0
富山|412|11,651|5|0|382|25
石川|776|12,543|53|0|676|47
福井|244|9,686|2|1|229|11
山梨|180|10,478|3|1|171|6
長野|305|18,446|9|0|301|1
岐阜|616|22,165|24|3|582|10
静岡|526|32,717|13|1|512|1
愛知|5,241|74,009|343|14|4,815|83
三重|494|12,284|76|4|411|7
滋賀|495|11,575|26|0|461|8
京都|1,710|40,610|67|1|1,618|25
大阪|10,447|179,382|614|30|9,622|201
兵庫|2,658|54,981|94|8|2,505|59
奈良|562|19,870|14|0|539|9
和歌山|240|9,240|4|0|229|4
鳥取|36|5,420|7|0|29|0
島根|140|5,597|2|0|137|0
岡山|153|8,110|1|-|147|-
広島|516|20,198|37|1|467|3
山口|198|9,453|6|1|190|2
徳島|147|6,862|17|0|118|9
香川|93|10,460|3|0|88|2
愛媛|114|4,037|0|0|108|6
高知|138|3,450|1|0|133|4
福岡|5,023|47,114|127|10|4,801|95
佐賀|245|5,828|2|0|245|0
長崎|236|18,015|2|0|230|3
熊本|572|16,327|7|0|557|8
大分|158|16,435|3|0|153|2
宮崎|344|8,534|2|0|342|1
鹿児島|400|18,249|17|0|376|12
沖縄|2,427|38,138|153|8|2,232|46
（その他）|149|-|0|-|149|-
合計|81,181|1,746,647|5,498|159|74,122|1,547
