都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|1,814|46,499|103|2|1,607|104
青森|35|2,104|2|0|32|1
岩手|23|3,380|6|0|17|0
宮城|231|8,173|37|0|192|2
秋田|50|1,816|3|0|47|0
山形|78|3,126|2|1|76|1
福島|175|15,723|49|2|126|0
茨城|573|11,063|60|3|499|14
栃木|309|23,646|20|3|292|1
群馬|474|15,468|63|0|392|19
埼玉|4,101|114,373|445|11|3,564|92
千葉|3,188|58,879|349|10|2,776|63
東京|21,656|348,595|2,412|27|18,875|369
神奈川|5,352|120,662|589|22|4,637|126
新潟|146|13,222|9|1|137|0
富山|402|9,850|54|1|333|25
石川|697|9,317|129|2|568|37
福井|241|8,766|70|5|163|8
山梨|174|9,693|11|1|158|5
長野|286|15,833|65|0|226|1
岐阜|564|18,877|23|2|531|10
静岡|487|26,858|35|2|451|1
愛知|4,637|57,481|587|19|3,977|73
三重|399|10,326|58|3|339|2
滋賀|462|9,755|59|3|396|7
京都|1,512|32,853|147|3|1,340|25
大阪|8,976|144,989|938|47|7,868|163
兵庫|2,335|46,553|121|8|2,160|54
奈良|534|15,262|43|3|483|8
和歌山|232|8,751|3|0|222|4
鳥取|22|4,580|0|0|22|0
島根|137|4,973|1|0|137|0
岡山|146|7,049|4|-|141|-
広島|459|18,176|11|0|445|3
山口|181|7,236|73|0|108|0
徳島|145|6,291|63|2|77|4
香川|84|8,677|11|0|72|1
愛媛|114|3,855|1|0|107|6
高知|131|3,201|12|1|116|3
福岡|4,782|42,849|717|15|3,997|68
佐賀|240|5,265|10|0|230|0
長崎|234|15,430|23|0|201|3
熊本|540|12,165|57|1|468|7
大分|157|13,460|19|0|136|2
宮崎|338|8,161|20|0|318|1
鹿児島|370|16,322|49|1|302|11
沖縄|2,220|25,134|345|10|1,847|32
（その他）|149|-|0|-|149|-
合計|70,592|1,414,717|7,908|211|61,357|1,356
