都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|18,493|351,821|846|14|17,022|639
青森|805|16,347|79|0|709|17
岩手|521|22,490|16|1|476|29
宮城|3,498|49,684|82|5|3,393|23
秋田|269|6,879|26|0|238|5
山形|534|16,510|28|0|491|15
福島|1,833|97,855|124|10|1,645|64
茨城|5,372|24,378|413|16|4,865|94
栃木|3,962|117,669|220|9|3,684|58
群馬|4,265|83,749|264|9|3,922|79
埼玉|27,764|503,852|2,706|42|24,596|462
千葉|24,584|371,396|2,799|30|21,437|348
東京|106,505|1,423,473|5,204|103|100,170|1,131
神奈川|43,264|542,742|1,477|42|41,190|597
新潟|1,005|40,354|83|1|909|13
富山|887|33,471|18|3|842|27
石川|1,682|45,716|235|1|1,449|60
福井|530|28,950|26|2|479|25
山梨|919|14,741|18|1|885|16
長野|2,345|90,739|54|1|2,279|39
岐阜|4,577|119,648|294|11|4,192|91
静岡|4,845|164,992|202|1|4,551|92
愛知|25,128|353,866|1,259|36|23,394|475
三重|2,389|56,417|180|11|2,167|42
滋賀|2,316|64,703|158|5|2,119|39
京都|8,846|143,753|673|5|8,103|144
大阪|45,947|720,445|1,934|140|42,523|1,054
兵庫|17,470|226,475|873|67|16,119|478
奈良|3,268|75,362|149|5|3,076|43
和歌山|1,147|23,811|56|8|1,052|16
鳥取|207|37,425|10|0|192|2
島根|280|13,515|9|1|271|0
岡山|2,445|60,138|96|5|2,300|26
広島|4,939|139,356|113|6|4,718|99
山口|1,354|52,858|145|1|1,174|35
徳島|426|23,983|44|3|367|15
香川|721|41,673|51|2|653|17
愛媛|1,029|29,642|50|1|957|22
高知|876|7,038|17|1|842|17
福岡|17,327|408,188|1,456|32|15,637|234
佐賀|995|25,949|39|1|971|6
長崎|1,580|63,103|101|2|1,412|35
熊本|3,403|55,648|97|15|3,243|67
大分|1,262|72,664|86|0|1,158|18
宮崎|1,906|24,475|96|2|1,775|20
鹿児島|1,724|61,770|89|5|1,627|21
沖縄|7,990|136,508|379|2|7,515|101
（その他）|149|-|0|-|149|-
合計|413,583|7,086,221|23,374|658|382,938|6,950
