都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|10,367|175,957|2,248|27|7,848|271
青森|354|7,598|61|2|287|6
岩手|225|10,329|57|4|162|6
宮城|1,336|20,570|152|3|1,173|11
秋田|90|3,744|1|0|88|1
山形|196|8,585|61|1|134|1
福島|555|42,934|64|5|483|8
茨城|1,892|17,667|352|16|1,516|24
栃木|800|59,719|194|10|606|2
群馬|1,482|40,276|247|7|1,162|24
埼玉|9,728|254,923|1,562|27|7,999|167
千葉|7,692|186,561|766|15|6,831|95
東京|44,927|824,387|4,429|59|39,970|528
神奈川|14,100|275,654|1,399|54|12,482|219
新潟|369|23,681|78|0|291|0
富山|462|18,434|6|2|430|26
石川|884|24,070|32|0|803|50
福井|329|16,252|20|2|298|11
山梨|431|14,021|89|0|333|9
長野|863|34,907|117|4|712|6
岐阜|1,336|46,517|271|1|1,049|16
静岡|2,030|66,196|644|12|1,367|19
愛知|11,636|143,982|1,951|28|9,547|138
三重|967|22,079|178|6|779|10
滋賀|842|29,940|63|2|768|11
京都|2,947|71,928|325|8|2,590|39
大阪|23,420|362,323|4,193|147|18,825|380
兵庫|6,692|106,995|809|41|5,781|102
奈良|1,386|37,171|249|6|1,124|13
和歌山|528|14,421|71|8|439|7
鳥取|66|19,097|9|0|56|0
島根|158|7,158|11|0|147|0
岡山|689|20,802|140|5|468|11
広島|1,128|39,067|225|7|820|7
山口|422|22,347|51|3|365|2
徳島|187|13,592|6|1|172|9
香川|191|18,712|54|0|134|3
愛媛|353|8,633|77|2|268|7
高知|281|4,309|95|1|161|4
福岡|6,264|216,468|442|9|5,712|110
佐賀|354|10,900|48|0|310|2
長崎|277|28,830|9|0|265|3
熊本|1,133|26,916|76|7|1,004|13
大分|439|31,686|152|2|284|3
宮崎|574|10,751|95|1|479|2
鹿児島|741|29,079|120|1|621|13
沖縄|4,656|77,481|384|7|4,202|75
（その他）|149|-|0|-|149|-
合計|166,928|3,547,649|22,683|543|141,494|2,464
