都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|1,834|47,473|85|2|1,644|105
青森|35|2,153|2|0|32|1
岩手|23|3,458|5|0|18|0
宮城|249|8,369|43|0|204|2
秋田|50|1,841|3|0|47|0
山形|78|3,133|2|1|76|1
福島|184|16,069|50|2|134|0
茨城|588|11,350|56|3|518|14
栃木|316|24,434|18|1|299|1
群馬|497|16,123|70|0|403|19
埼玉|4,148|119,096|352|10|3,701|95
千葉|3,258|60,485|294|8|2,900|64
東京|22,019|360,918|2,201|21|19,440|378
神奈川|5,523|125,034|589|30|4,808|126
新潟|146|13,473|6|1|140|0
富山|407|10,437|31|1|354|25
石川|712|9,728|111|2|562|39
福井|244|8,967|53|5|181|8
山梨|178|9,851|10|1|163|5
⾧野|292|16,526|39|0|258|1
岐阜|566|19,111|18|2|538|10
静岡|494|27,924|26|2|467|1
愛知|4,719|59,105|489|15|4,156|74
三重|435|10,665|83|2|349|3
滋賀|465|10,102|44|2|414|7
京都|1,583|34,296|148|3|1,410|25
大阪|9,169|149,366|832|44|8,162|168
兵庫|2,360|47,485|113|10|2,193|54
奈良|539|15,262|36|2|495|8
和歌山|235|8,816|3|0|225|4
鳥取|22|4,592|0|0|22|0
島根|137|5,027|0|0|137|0
岡山|146|7,049|4|-|141|-
広島|460|18,408|10|0|447|3
山口|184|7,349|55|1|129|0
徳島|146|6,389|57|3|81|6
香川|85|8,883|10|0|73|2
愛媛|114|3,884|1|0|107|6
高知|134|3,234|6|1|123|3
福岡|4,834|43,293|696|19|4,067|71
佐賀|242|5,310|8|0|234|0
⾧崎|234|15,654|19|0|208|3
熊本|551|12,359|50|0|484|8
大分|157|13,756|18|0|137|2
宮崎|339|8,198|18|0|321|1
鹿児島|371|16,769|36|1|324|11
沖縄|2,238|26,337|298|7|1,906|38
（その他）|149|-|0|-|149|-
合計|71,889|1,457,541|7,098|202|63,381|1,392
