都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者うち重症（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
北海道|4,387|96,113|1,16011||3,110|117
青森|275|6,062|552||215|5
岩手|33|5,793|50||26|0
宮城|892|15,516|1823||704|6
秋田|68|2,673|71||61|0
山形|92|6,856|100||81|1
福島|419|34,102|382||375|6
茨城|854|14,524|821||754|18
栃木|505|47,064|214||484|1
群馬|937|31,094|382||874|20
埼玉|6,479|203,293|6798||5,687|113
千葉|5,499|137,855|4337||4,983|83
東京|33,377|647,611|2,22638||30,683|468
神奈川|9,604|217,129|73026||8,694|180
新潟|216|18,840|340||182|0
富山|425|15,525|20||397|26
石川|825|19,143|160||760|49
福井|268|11,881|120||245|11
山梨|257|12,278|381||213|6
長野|393|25,014|490||343|6
岐阜|765|28,467|780||675|12
静岡|787|46,817|1232||662|2
愛知|7,052|110,598|83415||6,120|98
三重|603|16,342|422||554|7
滋賀|636|14,966|790||548|9
京都|2,187|55,661|1241||2,033|30
大阪|14,376|260,477|1,44963||12,651|257
兵庫|3,596|74,219|27717||3,248|71
奈良|771|26,732|1081||652|11
和歌山|298|10,767|213||268|4
鳥取|51|6,039|140||37|0
島根|141|6,281|00||141|0
岡山|348|14,762|1182||185|6
広島|680|29,297|231||652|5
山口|233|12,510|201||211|2
徳島|170|7,618|70||155|9
香川|108|14,533|60||100|2
愛媛|117|4,476|10||110|6
高知|144|3,684|00||140|4
福岡|5,328|175,450|1114||5,113|104
佐賀|275|7,879|190||257|1
長崎|249|24,030|40||241|3
熊本|866|21,157|463||795|9
大分|162|22,399|20||157|3
宮崎|373|8,829|31||370|1
鹿児島|542|24,227|670||470|13
沖縄|3,597|63,313|2834||3,254|65
（その他）|149|-|0-||149|-
合計|110,409|2,659,896|9,676226||98,819|1,850
