都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|9,251|157,664|2,171|26|6,867|213
青森|315|6,975|40|2|269|6
岩手|212|9,887|77|2|131|4
宮城|1,230|19,189|128|5|1,092|10
秋田|90|3,677|10|0|79|1
山形|149|7,717|36|1|112|1
福島|509|40,917|49|5|452|8
茨城|1,692|17,233|370|16|1,299|23
栃木|702|56,119|138|7|564|2
群馬|1,312|36,684|236|2|1,025|22
埼玉|8,830|242,738|1,372|28|7,310|148
千葉|7,239|169,433|807|11|6,342|90
東京|42,344|784,259|4,174|54|37,669|501
神奈川|13,126|262,887|1,361|61|11,564|201
新潟|348|22,805|89|0|259|0
富山|461|17,678|18|0|417|26
石川|862|22,755|24|0|788|50
福井|320|15,346|21|0|288|11
山梨|362|13,619|49|2|304|9
長野|760|32,727|95|0|638|6
岐阜|1,161|42,063|234|2|913|14
静岡|1,782|60,541|563|10|1,206|13
愛知|10,528|143,080|1,766|27|8,640|122
三重|905|19,848|186|4|710|9
滋賀|804|28,577|71|1|722|11
京都|2,714|67,950|214|6|2,461|39
大阪|21,404|338,860|4,549|136|16,495|341
兵庫|5,868|99,809|734|37|5,047|87
奈良|1,229|34,463|229|6|987|13
和歌山|478|13,801|74|6|387|6
鳥取|61|17,738|8|0|52|0
島根|152|7,158|4|1|148|0
岡山|629|20,802|140|5|468|11
広島|897|35,884|124|6|755|6
山口|402|19,028|59|3|337|2
徳島|182|7,848|6|1|167|9
香川|154|17,757|28|0|124|2
愛媛|331|7,393|141|6|184|6
高知|180|3,871|26|0|146|4
福岡|5,932|206,315|357|9|5,467|108
佐賀|329|10,160|38|0|292|2
長崎|273|27,725|17|0|255|3
熊本|1,055|24,650|67|8|948|13
大分|342|28,985|118|1|221|3
宮崎|527|10,183|90|2|437|1
鹿児島|629|27,883|36|1|593|13
沖縄|4,447|74,544|423|5|3,960|69
（その他）|149|-|0|-|149|-
合計|153,658|3,337,225|21,567|505|129,740|2,239
