都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|8,022|139,729|2,248|21|5,603|171
青森|287|6,569|16|2|265|6
岩手|179|8,810|93|1|85|1
宮城|1,168|18,491|190|7|969|9
秋田|89|3,500|18|0|70|1
山形|116|7,409|13|1|97|1
福島|490|39,101|59|6|425|6
茨城|1,442|16,407|346|11|1,077|19
栃木|607|52,980|81|6|526|2
群馬|1,148|35,312|171|4|956|21
埼玉|8,104|230,484|1,190|29|6,776|138
千葉|6,751|160,899|825|11|5,840|86
東京|39,649|743,888|3,743|61|35,418|488
神奈川|12,112|249,352|1,346|59|10,574|192
新潟|326|21,992|99|0|227|0
富山|453|16,966|20|0|407|26
石川|846|21,523|15|0|781|50
福井|312|14,493|31|0|270|11
山梨|336|13,459|46|3|282|8
長野|670|30,587|107|0|534|6
岐阜|1,014|32,891|164|1|836|14
静岡|1,447|55,546|533|6|910|4
愛知|9,398|135,512|1,661|22|7,624|113
三重|797|19,848|167|5|623|7
滋賀|773|27,121|84|1|680|9
京都|2,585|64,192|267|5|2,281|37
大阪|19,167|313,767|3,524|107|15,322|302
兵庫|5,211|91,975|744|31|4,388|79
奈良|1,087|31,912|206|6|870|11
和歌山|428|12,996|79|8|337|6
鳥取|58|16,298|8|0|49|0
島根|145|6,772|5|0|140|0
岡山|568|19,205|156|3|363|11
広島|785|34,211|62|2|714|6
山口|372|17,013|112|2|254|2
徳島|181|7,779|11|1|162|9
香川|135|16,584|17|0|116|2
愛媛|296|6,776|149|3|141|6
高知|149|3,747|4|0|141|4
福岡|5,644|196,941|231|3|5,306|107
佐賀|300|9,506|19|0|283|1
長崎|265|26,604|17|0|247|3
熊本|999|23,481|66|6|903|13
大分|255|26,669|70|0|182|3
宮崎|477|9,431|93|2|384|1
鹿児島|607|27,152|40|0|567|13
沖縄|4,169|71,380|362|4|3,744|68
（その他）|149|-|0|-|149|-
合計|140,568|3,137,260|19,508|440|118,898|2,073
