都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|8,718|150,003|2,425|27|6,206|189
青森|295|6,697|22|2|267|6
岩手|194|9,451|93|2|98|3
宮城|1,202|18,866|158|5|1,034|10
秋田|90|3,668|14|0|75|1
山形|135|7,530|33|1|101|1
福島|501|40,014|54|5|441|6
茨城|1,561|16,741|359|12|1,181|21
栃木|638|54,416|103|7|535|2
群馬|1,207|35,606|186|2|988|21
埼玉|8,427|235,202|1,166|31|7,122|139
千葉|7,008|163,547|884|11|6,037|87
東京|40,939|760,947|4,037|70|36,413|489
神奈川|12,559|254,992|1,353|58|11,011|195
新潟|331|22,272|97|0|234|0
富山|459|17,114|21|0|412|26
石川|853|21,967|20|0|783|50
福井|316|14,684|22|0|283|11
山梨|338|13,556|35|2|294|9
⾧野|718|31,328|104|0|587|6
岐阜|1,072|33,776|179|1|879|14
静岡|1,620|56,892|567|7|1,042|11
愛知|10,112|135,512|1,686|28|8,307|119
三重|858|19,848|213|7|638|7
滋賀|783|27,762|76|1|698|9
京都|2,663|65,925|267|5|2,359|37
大阪|20,273|323,566|4,119|124|15,815|320
兵庫|5,570|95,654|743|37|4,747|80
奈良|1,141|32,940|197|5|932|12
和歌山|452|13,463|73|9|363|6
鳥取|58|16,572|5|0|52|0
島根|147|6,772|6|0|141|0
岡山|599|19,205|156|3|363|11
広島|838|34,993|101|3|724|6
山口|386|17,013|77|3|303|2
徳島|181|7,826|9|1|164|9
香川|143|17,069|20|0|121|2
愛媛|314|7,104|148|4|160|6
高知|152|3,755|5|0|143|4
福岡|5,827|200,689|331|5|5,388|108
佐賀|309|9,667|24|0|287|1
⾧崎|271|26,979|20|0|249|3
熊本|1,012|23,912|64|6|921|13
大分|295|27,366|89|1|203|3
宮崎|503|9,765|95|2|408|1
鹿児島|612|27,472|41|1|571|13
沖縄|4,326|72,779|403|5|3,859|69
（その他）|149|-|0|-|149|-
合計|147,155|3,212,877|20,900|493|124,088|2,138
