都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|12,961|229,609|1,598|25|10,906|434
青森|428|9,237|44|1|377|7
岩手|372|13,693|65|3|285|22
宮城|2,035|24,089|452|5|1,569|14
秋田|125|4,020|30|0|94|1
山形|365|10,057|86|6|275|4
福島|886|55,218|233|5|636|17
茨城|2,307|18,432|227|7|2,045|35
栃木|1,235|70,531|300|9|935|6
群馬|2,172|50,358|343|9|1,756|35
埼玉|13,240|302,712|2,691|46|10,353|196
千葉|10,218|220,069|1,801|20|8,303|114
東京|56,559|962,086|7,510|82|48,442|607
神奈川|19,516|334,987|2,423|61|16,834|259
新潟|505|27,246|95|0|410|3
富山|541|21,295|56|1|459|26
石川|1,034|28,990|114|7|875|50
福井|346|18,724|16|2|319|11
山梨|509|14,417|45|3|453|11
長野|1,126|45,163|132|2|991|13
岐阜|2,023|62,735|411|9|1,581|31
静岡|2,568|88,334|471|5|2,059|38
愛知|15,448|191,017|2,321|40|12,933|194
三重|1,225|29,023|145|4|1,064|16
滋賀|1,087|36,012|199|2|877|11
京都|4,105|87,310|813|17|3,282|45
大阪|28,927|446,674|3,441|161|24,942|544
兵庫|9,163|132,820|1,120|47|7,871|172
奈良|1,882|46,358|345|10|1,515|22
和歌山|594|16,235|26|5|550|7
鳥取|87|23,190|20|0|65|0
島根|202|9,344|27|1|175|0
岡山|1,266|31,723|384|8|762|13
広島|2,925|65,962|493|15|1,580|18
山口|524|26,760|97|2|420|3
徳島|195|14,949|7|0|179|9
香川|282|23,175|83|0|196|3
愛媛|415|12,107|56|4|348|11
高知|626|5,727|159|8|461|6
福岡|8,155|255,221|1,273|12|6,765|117
佐賀|445|14,579|53|1|394|3
長崎|457|37,729|175|2|298|3
熊本|1,669|33,475|151|3|1,337|16
大分|620|40,661|75|5|540|5
宮崎|710|12,114|72|0|638|5
鹿児島|946|36,020|102|1|844|13
沖縄|5,199|86,755|318|5|4,805|81
（その他）|149|-|0|-|149|-
合計|218,374|4,326,942|31,098|661|182,947|3,251
