都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|7,766|135,619|2,300|21|5,302|164
青森|285|6,480|16|2|263|6
岩手|162|8,650|98|1|76|1
宮城|1,147|18,374|193|8|945|9
秋田|84|3,476|13|0|70|1
山形|111|7,374|13|1|97|1
福島|486|38,699|60|5|420|6
茨城|1,397|16,254|337|8|1,041|19
栃木|599|52,797|79|6|520|2
群馬|1,117|35,056|125|2|941|21
埼玉|8,002|228,115|1,175|27|6,690|137
千葉|6,644|159,758|775|11|5,783|86
東京|39,079|736,409|3,781|60|34,813|485
神奈川|11,894|246,225|1,301|64|10,404|189
新潟|325|21,833|101|0|224|0
富山|450|16,763|18|0|406|26
石川|843|21,257|14|0|780|49
福井|309|14,286|33|0|265|11
山梨|336|13,394|50|3|279|7
⾧野|654|29,788|99|0|524|6
岐阜|985|32,518|156|1|816|13
静岡|1,395|54,881|504|4|887|4
愛知|9,200|133,582|1,608|22|7,479|113
三重|782|18,271|171|5|604|7
滋賀|760|26,704|86|0|665|9
京都|2,552|63,452|246|4|2,269|37
大阪|18,784|309,194|3,433|108|15,035|297
兵庫|5,028|89,727|692|32|4,257|79
奈良|1,061|31,572|189|6|861|11
和歌山|414|12,863|77|9|325|6
鳥取|58|16,126|8|0|49|0
島根|144|6,772|4|0|140|0
岡山|544|17,220|156|3|363|11
広島|771|33,800|57|1|707|6
山口|367|17,013|117|2|244|2
徳島|180|7,770|10|2|162|9
香川|134|16,352|19|0|113|2
愛媛|282|6,025|141|3|135|6
高知|149|3,747|5|0|140|4
福岡|5,591|194,792|203|3|5,281|107
佐賀|300|9,342|18|0|283|1
⾧崎|265|26,332|15|0|246|3
熊本|984|23,229|67|5|891|12
大分|246|26,211|68|0|175|3
宮崎|458|9,305|83|2|375|1
鹿児島|607|27,018|40|0|567|13
沖縄|4,131|69,484|351|4|3,717|68
（その他）|149|-|0|-|149|-
合計|138,011|3,093,909|19,105|435|116,778|2,050
