都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|18,835|369,291|735|10|17,469|660
青森|812|17,099|41|0|752|19
岩手|553|24,184|30|1|493|30
宮城|3,563|66,366|101|4|3,438|24
秋田|269|7,031|7|0|256|6
山形|537|17,236|15|0|507|15
福島|1,876|106,229|88|7|1,719|69
茨城|5,595|24,833|354|12|5,138|103
栃木|4,037|122,452|169|8|3,803|65
群馬|4,381|89,498|185|6|4,113|83
埼玉|28,756|531,822|1,719|38|26,512|525
千葉|25,676|391,360|1,924|19|23,347|405
東京|109,912|1,490,491|3,825|76|104,813|1,274
神奈川|44,181|571,658|1,164|37|42,368|649
新潟|1,032|42,392|78|1|940|14
富山|903|35,301|24|3|852|27
石川|1,797|48,506|197|4|1,578|61
福井|542|30,834|14|0|503|25
山梨|935|24,827|14|2|906|16
長野|2,358|95,860|17|0|2,332|41
岐阜|4,675|127,848|180|8|4,390|105
静岡|5,015|179,607|241|1|4,681|93
愛知|25,569|377,566|878|29|24,185|506
三重|2,480|60,178|172|8|2,259|49
滋賀|2,398|68,106|133|5|2,221|44
京都|9,017|151,641|437|2|8,445|153
大阪|46,679|761,750|1,358|102|43,810|1,092
兵庫|17,806|239,577|590|49|16,711|505
奈良|3,338|79,558|126|4|3,167|45
和歌山|1,159|24,236|19|2|1,099|17
鳥取|208|39,345|3|0|200|2
島根|281|15,115|3|0|278|0
岡山|2,470|63,400|89|3|2,340|29
広島|4,999|149,875|81|6|4,809|101
山口|1,369|55,951|82|1|1,251|36
徳島|447|25,617|40|1|391|16
香川|744|43,568|40|1|686|18
愛媛|1,052|31,232|41|1|988|23
高知|884|7,091|4|1|863|17
福岡|17,819|429,419|978|25|16,572|269
佐賀|1,017|26,788|29|0|1,001|8
長崎|1,605|65,672|43|1|1,526|36
熊本|3,437|56,482|64|7|3,299|72
大分|1,286|76,415|52|0|1,213|21
宮崎|1,946|24,645|42|0|1,876|21
鹿児島|1,747|65,502|73|5|1,672|24
沖縄|8,093|142,076|281|1|7,703|114
（その他）|149|-|0|-|149|-
合計|424,239|7,495,530|16,780|491|399,624|7,527
