都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|18,327|346,126|1,022|15|16,694|630
青森|794|15,881|81|0|698|15
岩手|519|22,098|22|1|468|29
宮城|3,488|49,597|106|6|3,359|23
秋田|269|6,878|30|0|234|5
山形|531|16,351|36|0|481|14
福島|1,805|95,314|129|9|1,617|59
茨城|5,293|24,220|487|15|4,719|87
栃木|3,927|115,994|235|10|3,635|57
群馬|4,200|82,684|335|10|3,786|79
埼玉|27,345|495,551|3,079|47|23,817|449
千葉|24,261|362,807|2,883|36|21,049|329
東京|105,458|1,403,828|5,800|103|98,559|1,099
神奈川|42,897|536,389|1,687|56|40,620|590
新潟|986|39,174|90|1|883|13
富山|884|33,203|18|3|839|27
石川|1,621|45,067|206|1|1,408|60
福井|528|28,864|30|2|474|24
山梨|918|14,741|19|2|884|15
長野|2,345|90,063|75|1|2,261|39
岐阜|4,524|117,483|322|13|4,115|87
静岡|4,801|171,062|234|2|4,476|91
愛知|24,936|347,169|1,467|42|23,004|465
三重|2,361|52,085|231|12|2,090|40
滋賀|2,284|63,427|185|6|2,064|35
京都|8,798|141,570|821|5|7,912|139
大阪|45,618|703,933|2,777|141|41,804|1,037
兵庫|17,324|229,394|1,010|67|15,851|463
奈良|3,238|74,734|185|6|3,011|42
和歌山|1,129|23,123|61|8|1,030|16
鳥取|207|37,118|17|0|185|2
島根|280|13,515|10|1|270|0
岡山|2,428|55,878|143|5|2,199|24
広島|4,915|139,356|128|6|4,679|98
山口|1,344|52,858|184|0|1,127|33
徳島|419|23,562|30|3|362|15
香川|715|41,274|79|1|619|17
愛媛|1,026|27,910|55|1|949|22
高知|868|6,984|15|1|836|17
福岡|17,066|401,363|1,601|35|15,240|225
佐賀|993|25,836|52|1|954|6
長崎|1,569|62,247|135|2|1,387|35
熊本|3,392|55,410|109|15|3,209|66
大分|1,249|71,891|105|0|1,126|18
宮崎|1,906|24,309|104|3|1,775|20
鹿児島|1,685|61,000|84|3|1,591|19
沖縄|7,944|135,314|479|4|7,373|97
（その他）|149|-|0|-|149|-
合計|409,564|6,984,635|26,993|701|375,872|6,772
