都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|12,715|224,416|1,632|25|10,713|423
青森|414|8,969|32|2|376|6
岩手|353|13,489|70|3|261|22
宮城|1,930|23,979|385|5|1,532|13
秋田|113|4,020|19|0|93|1
山形|355|9,902|103|6|249|3
福島|844|53,517|219|5|610|15
茨城|2,253|18,432|231|9|1,987|35
栃木|1,165|68,950|281|12|884|6
群馬|2,097|50,358|353|9|1,709|35
埼玉|12,764|302,203|2,581|46|9,991|192
千葉|9,912|217,693|1,692|19|8,108|112
東京|54,902|953,469|6,554|81|47,751|597
神奈川|18,693|334,987|2,423|61|16,018|252
新潟|486|26,876|81|0|405|3
富山|532|21,295|52|1|454|26
石川|1,010|28,493|105|4|864|50
福井|343|18,435|15|2|317|11
山梨|509|14,417|45|3|453|11
⾧野|1,088|45,163|104|2|979|13
岐阜|1,933|61,190|380|7|1,525|28
静岡|2,513|88,334|457|5|2,019|37
愛知|14,918|191,017|2,224|39|12,509|185
三重|1,198|29,023|132|3|1,051|15
滋賀|1,013|35,521|130|1|872|11
京都|4,105|87,310|813|17|3,282|45
大阪|28,395|436,421|3,531|162|24,339|525
兵庫|8,757|129,557|1,001|45|7,607|149
奈良|1,812|46,358|304|10|1,487|21
和歌山|591|16,086|25|5|548|7
鳥取|79|23,024|13|0|65|0
島根|190|9,344|19|1|171|0
岡山|1,217|31,723|384|8|762|13
広島|2,680|65,962|454|15|1,484|18
山口|503|26,760|83|2|413|3
徳島|195|14,665|7|0|179|9
香川|265|22,320|73|0|189|3
愛媛|398|12,026|42|4|345|11
高知|604|5,592|183|4|415|6
福岡|7,852|252,163|1,140|14|6,595|117
佐賀|439|14,468|52|1|389|3
⾧崎|457|37,041|155|2|298|3
熊本|1,613|32,961|156|3|1,307|16
大分|603|40,026|69|5|529|5
宮崎|695|12,114|73|0|622|5
鹿児島|920|36,020|89|1|831|13
沖縄|5,133|86,213|312|5|4,746|80
（その他）|149|-|0|-|149|-
合計|211,705|4,282,302|29,278|654|178,482|3,154
