都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|2,229|60,894|174|0|1,948|107
青森|37|2,551|1|0|35|1
岩手|24|4,461|1|0|23|0
宮城|441|11,052|45|1|394|2
秋田|58|2,296|5|0|53|0
山形|78|5,236|1|0|76|1
福島|279|21,710|44|3|231|4
茨城|693|12,738|49|5|627|17
栃木|443|32,634|25|0|418|1
群馬|735|23,865|36|3|678|19
埼玉|4,879|150,073|333|6|4,444|102
千葉|4,154|100,478|338|12|3,744|72
東京|26,869|489,967|1,868|24|24,585|416
神奈川|7,266|163,313|491|18|6,630|145
新潟|171|15,966|3|0|168|0
富山|422|12,961|9|1|387|26
石川|778|13,948|23|0|708|47
福井|247|9,952|3|0|233|11
山梨|196|10,900|13|1|177|6
長野|316|19,797|11|0|304|1
岐阜|631|23,733|17|2|604|10
静岡|564|36,658|35|1|527|2
愛知|5,463|81,271|289|12|5,085|89
三重|532|13,597|53|2|472|7
滋賀|508|12,499|15|0|485|8
京都|1,796|44,728|61|2|1,708|27
大阪|10,950|195,213|451|22|10,266|221
兵庫|2,822|59,199|122|11|2,641|59
奈良|583|21,662|18|0|556|9
和歌山|242|9,473|2|0|233|4
鳥取|36|5,510|4|0|32|0
島根|140|5,875|0|0|140|0
岡山|161|8,654|8|-|149|-
広島|612|21,623|83|1|522|3
山口|206|10,250|7|1|197|2
徳島|149|7,041|5|0|131|9
香川|93|11,253|1|0|90|2
愛媛|115|4,157|1|0|108|6
高知|138|3,519|0|0|134|4
福岡|5,061|139,681|68|6|4,894|99
佐賀|248|6,231|3|0|247|0
長崎|238|19,379|1|0|233|3
熊本|642|17,067|56|0|570|8
大分|158|17,693|1|0|155|2
宮崎|344|8,649|1|0|343|1
鹿児島|440|19,852|25|0|410|12
沖縄|2,656|42,120|256|9|2,357|47
（その他）|149|-|0|-|149|-
合計|85,992|2,011,379|5,056|143|79,301|1,612
