都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|13,055|231,206|1,621|23|10,988|439
青森|438|9,291|51|2|380|7
岩手|379|13,759|70|3|287|22
宮城|2,069|24,174|453|3|1,602|14
秋田|125|4,565|30|0|94|1
山形|369|10,097|84|6|280|5
福島|896|55,946|237|5|640|19
茨城|2,338|18,572|241|7|2,061|36
栃木|1,266|70,920|310|9|956|6
群馬|2,193|51,715|311|11|1,842|40
埼玉|13,424|312,054|2,725|54|10,500|199
千葉|10,393|222,862|1,829|17|8,450|114
東京|57,040|975,031|7,495|81|48,932|613
神奈川|19,849|342,311|2,612|61|16,977|260
新潟|505|27,279|87|0|418|3
富山|542|21,742|54|2|462|26
石川|1,040|29,071|113|6|880|50
福井|348|18,822|17|2|320|11
山梨|525|14,459|49|3|465|11
長野|1,129|46,746|121|3|1,005|13
岐阜|2,068|63,198|438|9|1,599|31
静岡|2,580|88,334|425|7|2,117|38
愛知|15,664|199,918|2,351|41|13,118|195
三重|1,237|29,023|139|4|1,082|16
滋賀|1,101|36,649|197|3|893|11
京都|4,455|90,765|1,019|14|3,431|47
大阪|29,077|449,377|3,458|158|25,062|557
兵庫|9,324|134,198|1,140|48|8,004|180
奈良|1,912|47,698|335|11|1,555|22
和歌山|598|16,309|21|4|559|7
鳥取|95|23,602|28|1|65|0
島根|205|9,344|30|2|175|0
岡山|1,285|31,723|384|8|762|13
広島|3,010|73,605|486|18|1,652|23
山口|537|26,760|103|4|427|3
徳島|195|15,074|7|0|179|9
香川|288|23,368|89|0|196|3
愛媛|431|12,200|69|4|350|12
高知|634|5,782|158|8|470|6
福岡|8,292|258,021|1,303|13|6,872|117
佐賀|450|14,638|49|1|403|3
長崎|457|38,000|193|2|311|3
熊本|1,739|34,504|172|5|1,384|16
大分|639|40,729|90|4|544|5
宮崎|715|12,454|68|0|647|5
鹿児島|966|37,656|110|2|856|13
沖縄|5,220|87,774|322|6|4,822|81
（その他）|149|-|0|-|149|-
合計|221,246|4,401,325|31,694|675|185,223|3,305
