都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|2,652|73,414|235|2|2,309|108
青森|150|3,633|100|3|49|1
岩手|27|5,134|3|0|23|0
宮城|545|12,763|44|1|499|2
秋田|61|2,448|2|0|59|0
山形|84|5,758|4|0|79|1
福島|379|26,962|71|3|302|6
茨城|737|13,525|28|2|691|18
栃木|476|35,101|32|0|444|1
群馬|839|27,505|81|5|739|19
埼玉|5,561|173,925|406|9|5,052|103
千葉|4,734|119,191|371|10|4,287|76
東京|29,706|563,985|1,635|23|27,626|445
神奈川|8,246|187,119|546|25|7,543|157
新潟|180|17,268|1|0|179|0
富山|422|14,261|0|0|396|26
石川|798|16,055|17|0|732|49
福井|256|10,775|6|0|239|11
山梨|203|11,373|3|0|194|6
長野|330|22,077|11|1|319|4
岐阜|668|25,757|30|1|627|11
静岡|588|40,885|15|0|571|2
愛知|5,768|92,555|246|10|5,430|92
三重|554|15,371|13|2|534|7
滋賀|535|13,549|17|0|509|9
京都|1,958|50,753|87|0|1,841|30
大阪|11,880|221,805|541|22|11,091|232
兵庫|3,056|65,340|116|16|2,879|61
奈良|624|23,806|26|2|589|9
和歌山|268|10,148|16|2|245|4
鳥取|35|5,578|0|0|35|0
島根|140|6,085|0|0|140|0
岡山|194|10,217|22|1|162|1
広島|651|26,568|24|0|623|5
山口|213|11,384|5|1|206|2
徳島|164|7,364|15|0|140|9
香川|101|12,904|5|0|94|2
愛媛|116|4,293|0|0|110|6
高知|140|3,603|0|0|136|4
福岡|5,174|156,615|64|5|5,009|101
佐賀|253|6,890|4|0|251|0
長崎|242|21,431|0|0|237|3
熊本|767|18,924|44|0|701|8
大分|159|19,950|1|0|155|3
宮崎|366|8,741|1|0|365|1
鹿児島|463|21,698|10|0|453|12
沖縄|3,094|51,072|318|9|2,722|58
（その他）|149|-|0|-|149|-
合計|94,706|2,295,558|5,216|155|87,765|1,705
