都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|19,093|381,062|577|3|17,867|677
青森|816|17,347|27|1|769|20
岩手|554|26,654|14|0|510|30
宮城|3,612|68,128|104|3|3,483|25
秋田|269|7,032|3|0|260|6
山形|543|17,488|14|0|514|15
福島|1,947|112,232|112|10|1,764|71
茨城|5,755|24,868|331|9|5,315|109
栃木|4,093|125,100|133|4|3,894|66
群馬|4,502|91,472|178|3|4,240|84
埼玉|29,347|549,118|1,458|38|27,326|563
千葉|26,395|405,008|1,699|25|24,243|453
東京|111,676|1,529,534|3,374|67|106,926|1,376
神奈川|44,899|587,587|1,075|27|43,144|680
新潟|1,080|44,544|88|1|977|15
富山|905|36,107|17|2|860|28
石川|1,851|51,318|143|7|1,673|62
福井|545|31,854|4|0|516|25
山梨|939|25,903|10|1|914|16
長野|2,364|97,594|17|0|2,338|41
岐阜|4,722|134,083|148|7|4,464|110
静岡|5,141|187,116|214|0|4,834|93
愛知|25,830|389,359|657|31|24,655|518
三重|2,528|63,656|139|8|2,414|53
滋賀|2,467|72,992|138|5|2,283|46
京都|9,046|154,708|329|2|8,578|154
大阪|47,123|788,301|1,051|90|44,543|1,117
兵庫|17,943|247,844|417|41|16,996|530
奈良|3,358|81,493|70|5|3,242|46
和歌山|1,163|24,494|12|3|1,109|18
鳥取|210|40,661|3|0|202|2
島根|284|15,625|5|0|279|0
岡山|2,484|66,389|53|2|2,389|32
広島|5,022|157,847|37|5|4,875|102
山口|1,382|58,758|56|0|1,288|38
徳島|452|26,408|28|2|408|16
香川|753|44,733|28|1|707|18
愛媛|1,063|32,518|39|1|1,001|23
高知|884|7,091|1|1|866|17
福岡|18,038|441,889|711|21|17,040|287
佐賀|1,057|28,057|60|0|1,009|8
長崎|1,612|67,315|36|1|1,540|36
熊本|3,439|56,787|44|5|3,330|72
大分|1,293|79,520|33|0|1,239|21
宮崎|1,951|24,715|24|1|1,896|21
鹿児島|1,761|67,412|35|2|1,726|26
沖縄|8,193|144,904|267|1|7,812|119
（その他）|149|-|0|-|149|-
合計|430,533|7,734,625|14,013|436|408,407|7,885
