都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|9,075|154,998|2,279|28|6,588|208
青森|307|6,889|33|2|268|6
岩手|208|9,681|80|2|124|4
宮城|1,221|19,125|136|5|1,075|10
秋田|90|3,676|10|0|79|1
山形|141|7,663|31|1|109|1
福島|506|40,549|48|5|450|8
茨城|1,655|17,086|365|13|1,267|23
栃木|688|55,743|138|7|550|2
群馬|1,283|36,339|199|1|1,018|22
埼玉|8,680|240,236|1,282|31|7,252|146
千葉|7,158|167,709|839|10|6,229|90
東京|41,811|776,098|3,964|59|37,348|499
神奈川|12,929|260,211|1,327|61|11,404|198
新潟|340|22,619|93|0|247|0
富山|460|17,465|18|0|416|26
石川|861|22,622|24|0|787|50
福井|319|15,274|21|0|287|11
山梨|353|13,599|44|2|300|9
⾧野|748|32,320|97|0|631|6
岐阜|1,119|41,349|204|1|901|14
静岡|1,722|59,560|551|9|1,159|12
愛知|10,309|143,080|1,731|30|8,457|121
三重|880|19,848|182|5|690|8
滋賀|796|28,288|67|1|719|10
京都|2,693|67,261|229|5|2,425|39
大阪|21,018|334,185|4,421|131|16,245|333
兵庫|5,749|98,300|704|34|4,961|84
奈良|1,190|33,927|204|6|973|13
和歌山|471|13,692|72|7|382|6
鳥取|60|17,317|7|0|52|0
島根|148|6,772|5|1|143|0
岡山|619|19,205|156|3|363|11
広島|872|35,884|111|6|749|6
山口|398|19,028|66|3|326|2
徳島|181|7,839|6|1|166|9
香川|148|17,450|22|0|124|2
愛媛|327|7,273|141|6|180|6
高知|165|3,806|14|0|143|4
福岡|5,901|204,387|347|6|5,446|108
佐賀|325|9,931|34|0|292|2
⾧崎|273|27,465|17|0|253|3
熊本|1,045|24,408|67|8|940|13
大分|324|28,476|104|1|217|3
宮崎|521|9,975|97|2|424|1
鹿児島|629|27,755|36|1|593|13
沖縄|4,398|74,039|421|3|3,913|69
（その他）|149|-|0|-|149|-
合計|151,263|3,300,402|21,044|497|127,814|2,212
