都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|8,869|151,817|2,281|28|6,394|194
青森|299|6,771|26|2|267|6
岩手|204|9,575|89|2|111|4
宮城|1,211|18,905|149|5|1,052|10
秋田|90|3,674|12|0|77|1
山形|138|7,609|30|1|107|1
福島|501|40,155|49|5|445|7
茨城|1,611|16,949|354|11|1,234|23
栃木|664|54,964|120|7|544|2
群馬|1,239|35,606|178|3|1,007|22
埼玉|8,531|238,047|1,203|31|7,185|143
千葉|7,082|164,934|874|10|6,119|89
東京|41,311|767,241|3,937|62|36,880|494
神奈川|12,716|256,331|1,363|60|11,156|197
新潟|336|22,350|93|0|243|0
富山|459|17,308|18|0|415|26
石川|859|22,322|23|0|786|50
福井|319|15,146|22|0|286|11
山梨|344|13,574|39|2|296|9
⾧野|736|31,976|95|0|613|6
岐阜|1,093|40,312|190|1|889|14
静岡|1,674|58,661|548|8|1,115|11
愛知|10,112|143,080|1,686|28|8,307|119
三重|865|19,848|186|5|672|7
滋賀|793|27,906|79|1|705|9
京都|2,671|66,502|230|5|2,402|39
大阪|20,591|328,242|4,173|125|16,073|326
兵庫|5,626|96,781|696|35|4,849|81
奈良|1,157|33,415|190|6|955|12
和歌山|462|13,594|75|7|370|6
鳥取|58|16,572|5|0|52|0
島根|148|6,772|5|1|143|0
岡山|609|19,205|156|3|363|11
広島|856|35,884|101|5|738|6
山口|391|17,013|61|3|324|2
徳島|181|7,830|7|1|165|9
香川|147|17,282|22|0|123|2
愛媛|320|7,211|145|5|169|6
高知|157|3,770|10|0|143|4
福岡|5,860|202,317|332|5|5,420|108
佐賀|319|9,795|29|0|291|2
⾧崎|271|27,249|19|0|253|3
熊本|1,021|24,059|67|6|924|13
大分|309|27,917|97|1|209|3
宮崎|513|9,821|92|2|421|1
鹿児島|612|27,621|41|1|571|13
沖縄|4,353|73,253|404|5|3,885|69
（その他）|149|-|0|-|149|-
合計|148,837|3,257,166|20,601|488|125,897|2,171
