都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|14,852|262,326|1,519|13|12,767|511
青森|567|11,261|78|2|481|8
岩手|432|15,752|65|2|342|25
宮城|2,640|26,467|486|8|2,137|17
秋田|174|4,891|31|0|142|1
山形|434|11,085|62|4|362|10
福島|1,253|65,238|338|8|885|30
茨城|3,207|19,492|724|9|2,443|40
栃木|2,616|82,698|1,256|16|1,360|12
群馬|2,908|58,301|551|12|2,303|54
埼玉|18,174|356,904|5,087|67|12,843|244
千葉|14,558|247,538|4,426|31|9,992|140
東京|76,163|1,083,806|18,923|131|56,551|689
神奈川|28,036|381,811|5,637|102|22,081|318
新潟|679|30,998|169|0|510|3
富山|716|23,807|156|2|534|26
石川|1,233|33,116|197|8|1,011|52
福井|399|21,414|41|1|345|12
山梨|676|14,741|119|2|546|11
⾧野|1,682|55,758|445|9|1,190|18
岐阜|3,087|77,253|728|16|2,313|46
静岡|3,376|106,902|851|8|2,474|51
愛知|19,420|231,862|3,288|48|15,857|275
三重|1,586|32,398|313|5|1,251|22
滋賀|1,570|42,370|406|14|1,148|16
京都|5,518|101,733|1,128|15|4,368|69
大阪|34,932|523,197|5,667|169|28,585|680
兵庫|12,088|159,074|1,364|69|10,452|272
奈良|2,388|53,820|401|9|1,959|28
和歌山|777|17,840|127|5|631|8
鳥取|165|27,649|66|3|95|1
島根|227|9,344|21|1|206|0
岡山|1,859|35,839|327|9|1,241|15
広島|4,068|86,026|726|13|3,016|57
山口|719|32,146|144|3|568|3
徳島|230|16,599|33|0|188|9
香川|441|29,188|178|2|259|4
愛媛|689|16,051|233|2|443|13
高知|734|6,165|71|4|651|12
福岡|11,346|291,280|2,917|17|8,300|129
佐賀|608|16,742|146|1|469|3
⾧崎|1,016|45,149|269|10|517|8
熊本|2,429|40,894|246|17|1,767|34
大分|838|49,528|152|4|677|9
宮崎|1,327|15,272|536|2|791|10
鹿児島|1,245|44,904|245|2|1,000|14
沖縄|5,944|95,543|556|6|5,309|84
（その他）|149|-|0|-|149|-
合計|290,175|5,012,172|61,449|881|223,509|4,093
