都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|16,578|296,993|1,514|16|14,511|565
青森|677|12,455|69|4|599|9
岩手|487|18,808|52|1|410|25
宮城|3,221|45,534|533|10|2,666|22
秋田|242|6,089|63|1|178|1
山形|457|13,066|32|1|412|13
福島|1,584|76,841|295|11|1,254|35
茨城|4,319|21,908|883|12|3,385|51
栃木|3,527|98,784|971|20|2,556|35
群馬|3,581|69,533|495|11|3,021|65
埼玉|23,060|418,597|5,273|91|17,483|304
千葉|19,918|302,123|6,433|47|13,277|208
東京|92,904|1,232,156|18,235|156|73,890|779
神奈川|37,474|455,639|4,978|116|32,106|390
新潟|838|35,121|146|1|692|7
富山|839|28,649|89|3|723|27
石川|1,416|38,179|215|7|1,188|56
福井|476|25,002|76|4|387|13
山梨|874|14,741|109|4|753|12
⾧野|2,155|69,826|311|1|1,834|28
岐阜|3,907|96,096|598|14|3,246|63
静岡|4,181|128,855|810|11|3,302|69
愛知|22,427|281,822|3,299|58|18,774|354
三重|1,976|42,391|390|4|1,558|28
滋賀|1,936|51,471|396|11|1,514|26
京都|7,393|118,410|1,511|21|5,850|93
大阪|41,033|603,837|6,137|174|34,070|826
兵庫|14,985|185,552|2,108|58|12,534|343
奈良|2,833|63,299|399|11|2,400|34
和歌山|975|20,208|145|15|804|12
鳥取|189|31,811|35|1|149|2
島根|242|11,764|12|0|230|0
岡山|2,219|47,392|387|21|1,750|17
広島|4,578|107,047|406|13|4,009|81
山口|1,077|40,022|351|2|718|8
徳島|359|19,831|114|0|233|12
香川|586|34,634|177|1|397|12
愛媛|931|22,607|204|3|710|17
高知|818|6,693|61|4|744|13
福岡|14,621|343,861|3,793|28|10,666|162
佐賀|886|21,777|214|2|684|4
⾧崎|1,359|52,644|381|2|981|18
熊本|3,076|48,014|273|16|2,243|45
大分|1,032|58,344|165|3|853|14
宮崎|1,696|20,872|350|8|1,339|15
鹿児島|1,497|52,400|225|2|1,272|15
沖縄|6,939|115,893|822|7|6,032|90
（その他）|149|-|0|-|149|-
合計|358,527|5,907,591|64,535|1,007|288,536|5,018
