都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|1,944|52,889|85|1|1,753|106
青森|35|2,282|2|0|32|1
岩手|23|3,860|0|0|23|0
宮城|365|9,688|91|1|272|2
秋田|53|1,964|2|0|51|0
山形|78|5,035|2|1|76|1
福島|221|18,347|35|1|184|2
茨城|624|12,026|35|5|573|16
栃木|387|27,769|61|1|314|1
群馬|663|18,946|139|0|505|19
埼玉|4,433|131,233|289|6|4,044|100
千葉|3,637|74,434|353|6|3,216|68
東京|24,208|411,359|2,346|27|21,472|390
神奈川|6,383|138,519|635|24|5,613|135
新潟|165|14,589|21|1|144|0
富山|410|11,364|5|0|380|25
石川|754|11,545|64|0|646|44
福井|244|9,491|13|3|220|9
山梨|180|10,263|7|2|168|5
長野|301|17,873|9|0|297|1
岐阜|597|21,233|30|1|557|10
静岡|517|31,367|22|1|494|1
愛知|5,070|68,983|393|15|4,598|79
三重|470|11,810|76|4|389|5
滋賀|478|11,177|21|0|450|7
京都|1,659|38,110|80|1|1,554|25
大阪|10,060|170,193|712|29|9,147|192
兵庫|2,570|52,326|132|10|2,382|56
奈良|554|19,076|16|1|529|9
和歌山|236|9,019|2|0|227|4
鳥取|36|5,218|13|0|23|0
島根|137|5,302|0|0|137|0
岡山|148|7,861|1|-|146|-
広島|475|19,573|9|0|463|3
山口|195|8,829|20|1|174|1
徳島|147|6,765|28|0|107|9
香川|93|10,074|9|0|82|2
愛媛|114|3,973|0|0|108|6
高知|137|3,400|3|0|130|4
福岡|5,003|46,542|185|11|4,728|90
佐賀|244|5,686|2|0|244|0
長崎|236|17,268|3|0|227|3
熊本|571|16,066|18|0|545|8
大分|158|15,504|5|0|151|2
宮崎|344|8,455|4|0|340|1
鹿児島|376|17,562|8|0|368|12
沖縄|2,352|36,091|146|10|2,165|45
（その他）|149|-|0|-|149|-
合計|78,234|1,650,939|6,132|163|70,597|1,499
