都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|15,818|280,837|1,716|10|13,560|538
青森|643|11,985|102|1|533|8
岩手|467|16,977|72|1|370|25
宮城|2,921|43,870|556|6|2,345|20
秋田|208|5,211|48|0|159|1
山形|443|11,682|41|2|389|13
福島|1,448|70,516|367|6|1,048|33
茨城|3,812|20,711|911|8|2,857|44
栃木|3,162|88,759|1,396|20|1,766|18
群馬|3,290|63,526|596|11|2,634|60
埼玉|20,785|378,221|6,415|76|14,101|269
千葉|17,318|264,173|5,884|43|11,265|169
東京|85,470|1,161,971|20,646|138|64,099|725
神奈川|33,187|412,964|6,327|103|26,507|353
新潟|767|32,456|178|1|589|5
富山|796|26,823|166|3|603|27
石川|1,326|35,793|183|8|1,108|54
福井|447|23,084|65|4|369|12
山梨|816|14,741|155|4|650|11
長野|1,989|63,438|478|3|1,493|21
岐阜|3,507|86,752|667|18|2,785|55
静岡|3,869|117,236|962|6|2,844|63
愛知|21,051|257,837|3,590|57|17,144|317
三重|1,783|35,367|373|6|1,387|23
滋賀|1,747|47,337|383|15|1,345|19
京都|6,463|111,064|1,429|19|5,013|78
大阪|38,095|550,329|6,364|186|30,989|742
兵庫|13,520|170,389|2,001|77|11,213|306
奈良|2,602|58,339|398|14|2,173|31
和歌山|865|19,032|121|9|722|11
鳥取|177|29,345|49|2|123|2
島根|235|10,183|14|0|221|0
岡山|2,071|35,839|479|17|1,434|16
広島|4,358|99,692|543|15|3,645|70
山口|833|35,818|191|2|633|5
徳島|291|17,876|73|0|209|9
香川|530|32,139|194|2|331|5
愛媛|811|19,037|242|3|555|14
高知|770|6,309|52|4|705|13
福岡|12,349|308,566|3,234|27|8,979|136
佐賀|765|18,855|224|2|551|4
長崎|1,157|48,964|292|6|692|14
熊本|2,939|46,061|281|18|2,034|38
大分|926|53,935|151|6|764|11
宮崎|1,475|18,888|456|6|990|11
鹿児島|1,357|48,606|232|2|1,125|15
沖縄|6,400|101,010|686|6|5,633|86
（その他）|149|-|0|-|149|-
合計|326,208|5,412,543|69,983|973|250,833|4,500
