都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|17,342|317,376|1,343|14|15,401|597
青森|711|13,109|53|2|645|13
岩手|496|19,948|21|2|448|27
宮城|3,384|48,324|334|7|3,028|22
秋田|260|6,370|49|0|210|1
山形|500|14,104|54|2|433|13
福島|1,718|84,423|246|11|1,429|43
茨城|4,755|23,081|763|16|3,930|62
栃木|3,755|104,961|604|17|3,106|45
群馬|3,806|74,179|318|11|3,419|69
埼玉|24,948|448,739|4,286|86|20,322|340
千葉|22,104|325,923|5,757|50|16,104|243
東京|99,208|1,309,999|13,383|141|84,942|883
神奈川|40,374|491,045|3,301|108|36,612|461
新潟|904|36,820|127|2|768|9
富山|868|30,685|51|2|790|27
石川|1,455|40,394|107|3|1,310|58
福井|510|26,805|68|4|423|19
山梨|898|14,741|45|4|840|13
⾧野|2,280|80,987|206|1|2,065|36
岐阜|4,197|104,356|475|14|3,654|68
静岡|4,566|142,180|703|10|3,787|76
愛知|23,775|309,425|2,616|59|20,765|394
三重|2,174|46,585|374|8|1,771|29
滋賀|2,115|55,558|306|9|1,779|30
京都|8,200|127,431|1,368|16|6,792|112
大阪|43,508|646,657|5,139|179|37,454|915
兵庫|16,220|200,149|2,000|63|13,829|391
奈良|3,009|67,562|309|7|2,663|37
和歌山|1,054|21,447|102|14|920|13
鳥取|198|33,712|29|0|164|2
島根|265|12,166|25|0|240|0
岡山|2,329|51,686|252|10|2,013|20
広島|4,763|120,841|313|12|4,324|92
山口|1,218|45,815|341|1|858|19
徳島|384|21,315|68|2|302|14
香川|635|37,278|151|1|469|15
愛媛|993|25,514|129|3|846|18
高知|846|6,856|37|4|795|14
福岡|15,895|367,574|2,522|35|13,192|181
佐賀|946|23,763|138|2|815|4
⾧崎|1,474|56,522|273|2|1,199|26
熊本|3,331|51,460|233|20|2,862|59
大分|1,145|63,091|183|3|945|17
宮崎|1,808|22,673|204|7|1,571|17
鹿児島|1,598|54,720|204|2|1,394|18
沖縄|7,511|124,179|812|7|6,614|90
（その他）|149|-|0|-|149|-
合計|384,582|6,352,528|50,422|973|328,391|5,652
