都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者うち重症（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
北海道|4,820|101,035|1,45516||3,243|122
青森|275|6,100|382||231|6
岩手|51|5,988|60||27|0
宮城|943|15,890|1833||752|8
秋田|70|2,695|81||62|0
山形|94|6,981|120||81|1
福島|428|34,760|393||383|6
茨城|906|14,703|1142||774|18
栃木|509|47,905|194||490|1
群馬|951|32,726|413||890|20
埼玉|6,637|206,246|7079||5,812|118
千葉|5,633|142,152|4958||5,054|84
東京|34,144|659,488|2,48939||31,185|470
神奈川|9,895|220,848|87828||8,835|182
新潟|224|19,367|410||183|0
富山|425|15,642|20||397|26
石川|827|19,519|140||764|49
福井|271|12,106|140||246|11
山梨|275|12,472|491||220|6
長野|429|25,663|840||344|6
岐阜|796|29,011|950||689|12
静岡|822|48,055|1332||687|2
愛知|7,299|113,195|90514||6,294|100
三重|610|17,127|463||557|7
滋賀|646|14,966|790||558|9
京都|2,222|55,975|1261||2,065|31
大阪|14,870|266,357|1,63958||12,953|259
兵庫|3,747|75,625|32518||3,350|72
奈良|812|27,245|1351||666|11
和歌山|308|10,987|273||272|4
鳥取|52|6,090|130||39|0
島根|141|6,354|00||141|0
岡山|367|14,762|791||259|10
広島|684|29,759|241||655|5
山口|248|12,510|341||211|2
徳島|170|7,642|70||156|9
香川|113|14,848|110||100|2
愛媛|123|4,529|70||110|6
高知|144|3,686|00||140|4
福岡|5,360|178,418|1134||5,143|104
佐賀|276|8,003|120||265|1
長崎|249|24,364|30||242|3
熊本|887|21,374|494||810|9
大分|163|22,882|30||157|3
宮崎|373|8,829|31||370|1
鹿児島|542|24,653|670||470|13
沖縄|3,669|64,314|3003||3,308|66
（その他）|149|-|0-||149|-
合計|113,649|2,713,846|10,923234||100,789|1,879
